tipo_oggetto,nome_oggetto,file_origine,simbolo_o_migration,categoria,prodotto_target,azione_futura,modalità_condivisione,decisione,dati_o_finalità,dipendenze,motivazione,note
test,production-write-guard.test.mjs,artifacts/ingestion/production-write-guard.test.mjs,production-write-guard.test.mjs,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test",Evidenza non operativa,Unità eseguibile
test,auth.spec.ts,e2e/auth.spec.ts,auth.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,business.spec.ts,e2e/business.spec.ts,business.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,editorial-opportunities.spec.ts,e2e/editorial-opportunities.spec.ts,editorial-opportunities.spec.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test",Oggetto editoriale con possibili riferimenti commerciali,Unità eseguibile
test,editorial.spec.ts,e2e/editorial.spec.ts,editorial.spec.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test",Oggetto editoriale con possibili riferimenti commerciali,Unità eseguibile
test,ia.spec.ts,e2e/ia.spec.ts,ia.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,legal.spec.ts,e2e/legal.spec.ts,legal.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test",Responsabilità legale legata ai dati operativi attuali,Unità eseguibile
test,people.spec.ts,e2e/people.spec.ts,people.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,public.spec.ts,e2e/public.spec.ts,public.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,responsive.spec.ts,e2e/responsive.spec.ts,responsive.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,roles.spec.ts,e2e/roles.spec.ts,roles.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_IN_PONTEIMPRESE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test","Funzione operativa, identitaria o commerciale",Unità eseguibile
test,self-delete.spec.ts,e2e/self-delete.spec.ts,self-delete.spec.ts,PONTE_IMPRESE,PonteImprese,MIGRARE_E_RIVALUTARE,,DEFINITIVA,verifica automatizzata,"runner,modulo sotto test",Responsabilità legale legata ai dati operativi attuali,Unità eseguibile
script_cli,d1d4-editorial-publish.mjs,scripts/external-data/d1d4-editorial-publish.mjs,d1d4-editorial-publish.mjs,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Oggetto editoriale con possibili riferimenti commerciali,Entry point
script_cli,d1d5-eventi-rls-runtime.sql,scripts/external-data/d1d5-eventi-rls-runtime.sql,d1d5-eventi-rls-runtime.sql,CONDIVISO,Entrambi con dati separati,DUPLICARE_SCHEMA_O_ESTRARRE_MOTORE,SCHEMA_TEMPLATE_DUPLICATO,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Eventi B2B e osservatorio separati per tassonomia e dati,Entry point
script_cli,dry-run-eurostat-lfsa-esgan.mjs,scripts/external-data/dry-run-eurostat-lfsa-esgan.mjs,dry-run-eurostat-lfsa-esgan.mjs,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Finalità statistica o documentale,Entry point
script_cli,dry-run-worldbank-indicators.ts,scripts/external-data/dry-run-worldbank-indicators.ts,dry-run-worldbank-indicators.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_NELL_CENTRO_STUDI,,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Finalità statistica o documentale,Entry point
script_cli,ingest-contenuti-pilot.ts,scripts/external-data/ingest-contenuti-pilot.ts,ingest-contenuti-pilot.ts,CENTRO_STUDI,Immigrati Imprenditori - Centro Studi sull'Imprenditoria Migrante,MIGRARE_E_SCINDERE_LINK,API_READ_ONLY,DEFINITIVA,operazione o smoke check,"Node.js,moduli interni",Oggetto editoriale con possibili riferimenti commerciali,Entry point
