path,tipo_file,stato_git,tracked,categoria,prodotto_target,azione_futura,modalità_condivisione,decisione,dipendenze_principali,motivazione,note
.gitignore,gitignore,clean,true,CONDIVISO,Entrambi con configurazioni autonome,DUPLICAZIONE_CONTROLLATA,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,"Fondazione tecnica riusabile, da separare e versionare senza coupling di deployment",Stato iniziale pulito
.prettierignore,prettierignore,clean,true,CONDIVISO,Entrambi con configurazioni autonome,DUPLICAZIONE_CONTROLLATA,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,"Fondazione tecnica riusabile, da separare e versionare senza coupling di deployment",Stato iniziale pulito
.prettierrc.json,json,clean,true,CONDIVISO,Entrambi con configurazioni autonome,DUPLICAZIONE_CONTROLLATA,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,"Fondazione tecnica riusabile, da separare e versionare senza coupling di deployment",Stato iniziale pulito
AGENTS.md,md,clean,true,CONDIVISO,Entrambi come baseline storica,DUPLICARE_POI_SPECIALIZZARE,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,Baseline architetturale comune al punto di separazione,Stato iniziale pulito
CLAUDE.md,md,clean,true,CONDIVISO,Entrambi come baseline storica,DUPLICARE_POI_SPECIALIZZARE,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,Baseline architetturale comune al punto di separazione,Stato iniziale pulito
README.md,md,clean,true,CONDIVISO,Entrambi come baseline storica,DUPLICARE_POI_SPECIALIZZARE,DUPLICAZIONE_CONTROLLATA,DEFINITIVA,toolchain repository,Baseline architetturale comune al punto di separazione,Stato iniziale pulito
artifacts/ingestion/apply-worldbank-indicators-2026-08-13T15-10-25-014Z/manifest.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/apply-worldbank-indicators-2026-08-13T15-10-42-134Z/manifest.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/apply-worldbank-indicators-2026-08-13T15-27-25-712Z/manifest.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/apply-worldbank-indicators-2026-08-13T15-28-17-603Z/manifest.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/apply-worldbank-indicators-2026-08-13T15-28-37-799Z/manifest.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d13a1a-grant-harness.sql,sql,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b1-validate.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b2-classify-pilot.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b2-prod-ingest.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-editorial-publish.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-importer-regression-out.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-importer-regression.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-inventory-out.json,json,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-inventory.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b3-verify-sources.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1b4-resolve-questionable.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
artifacts/ingestion/d1c3-prod-ingest.mjs,mjs,clean,true,ARCHIVIO,Archivio storico,CONSERVARE_SENZA_CANCELLARE,,DEFINITIVA,toolchain repository,Evidenza locale o artefatto di esecuzione non operativo,Stato iniziale pulito
