wave_id,ordine,titolo,categoria,prodotto_target,ambito,input_s_SPLIT_1,criterio_selezione,operazione_prevista,dipendenze,verifica,rollback,gate_umano,stato_iniziale,condizione_completamento,note
S2-SCAFFOLD-01,0,Scaffold monorepo e shell delle due app,NON_INVENTARIO,Entrambi,Struttura gia presente,Nessun filtro sui 713,path introdotti o modificati dal commit f616133,Nessuna: stato corrente da non rifare,Nessuna,Shell isolabili; nessun import app-to-app; src originale intatto,Non applicabile: onda gia eseguita,S2-GATE-BRAND per brand in product-config,completata,Due shell Next e due package scaffold senza dipendenze circolari,Non fa parte del censimento 713. Equivale a W1 del piano esecutivo. 18 path in f616133.
S2-COND-UI-01,1,Primitive UI neutre,CONDIVISO,packages/ui-foundation,Fondamenta UI condivise,split-1-file-inventory.csv,"categoria=CONDIVISO AND path LIKE 'src/components/ui/%'",Valutare neutralita; se neutri git mv verso packages/ui-foundation; altrimenti duplicare per app. Eseguito: 9 primitive in ui-foundation; states.tsx gate,S2-SCAFFOLD-01,Conteggio filtro=10; trasferiti=9; states.tsx non in package,Revert del solo git mv della tranche,states.tsx non-neutro (route /app e /accedi): duplicazione per app senza forzatura in ui-foundation,eseguita_con_gate,9 primitive in packages/ui-foundation; states.tsx resta CONDIVISO in sede,HOUSEKEEPING S2-PI-CORE-01: stato allineato all esecuzione gia committata. Non riaperta. Conteggio 10. states.tsx copiato in apps/ponteimprese in S2-PI-CORE-01 (versione PI); originale root preservato.
S2-COND-UTIL-01,2,Utility tecniche pure,CONDIVISO,packages/core,Errori e redirect sicuri,split-1-file-inventory.csv,"categoria=CONDIVISO AND (path LIKE 'src/lib/errors/%' OR path LIKE 'src/lib/auth/safe-redirect%')",Valutare neutralita; estrarre in packages/core solo se privi di dipendenze prodotto; test al seguito. Eseguito: 0 git mv,S2-SCAFFOLD-01,Conteggio filtro=4; trasferiti=0; packages/core assente,Revert git mv della tranche (non applicato: nessun mv),S2-GATE-SAFE-REDIRECT S2-GATE-APP-ERROR,eseguita_con_gate,Completamento implementativo rinviato alla risoluzione di S2-GATE-SAFE-REDIRECT e S2-GATE-APP-ERROR; 4 file ancora CONDIVISO nei path originali; 0 in packages/core,Onda eseguita senza trasferimento. Set=4; trasferiti=0; packages/core non creato. I 4 file restano contabilizzati una sola volta in questa onda (partizione 713 invariata). Nessun nesso operativo con S2-COND-UI-01.
S2-COND-TOOL-01,3,Toolchain di repository,CONDIVISO,Entrambi con configurazioni autonome,Root toolchain,split-1-file-inventory.csv,"categoria=CONDIVISO AND path NOT LIKE 'src/%' AND path NOT LIKE 'docs/%' AND path NOT LIKE 'supabase/%'",Valutare ownership; duplicare verso le app solo se il confine e gia definito; nessun secret. Eseguito: 13 file restano SHARED_ROOT_TOOLING; env.example in gate; 0 copie nuove,S2-SCAFFOLD-01,Conteggio filtro=14; trasferiti=0; packages/tooling-config assente; env.example senza valori segreti,Ripristinare solo copie aggiunte (nessuna copia aggiunta),S2-GATE-ENV-EXAMPLE S2-GATE-BRAND,eseguita_con_gate,Completamento implementativo rinviato a S2-GATE-ENV-EXAMPLE; 13 file restano root SHARED_ROOT_TOOLING; 0 in packages/tooling-config,Onda eseguita senza duplicazione. Set=14; restano root=13; gate=env.example. App hanno gia package.json/next.config.ts/tsconfig.json propri (scaffold; non sono i 14). Root package.json/lock/next/tsconfig/eslint/prettier/postcss/playwright/gitignore/AGENTS/CLAUDE/README preservati per legacy. Conteggio 14. Nessun nesso operativo con S2-COND-UI-01.
S2-COND-COMP-01,4,Componenti CONDIVISO non UI primitive,CONDIVISO,Duplicazione per app,UI di prodotto da specializzare,split-1-file-inventory.csv,"categoria=CONDIVISO AND path LIKE 'src/components/%' AND path NOT LIKE 'src/components/ui/%'",Valutare neutralita; duplicare e specializzare; non estrarre Header Footer home app admin come package. Eseguito: 1 git mv (FormField); 37 in gate,S2-COND-UI-01,Conteggio filtro=38; trasferiti=1 (FormField); 37 restano in src,Revert git mv della tranche,S2-GATE-HOME-LAYOUT S2-GATE-APP-COMPONENTS S2-GATE-PUBLIC-LEGAL-COMP,eseguita_con_gate,Completamento implementativo rinviato ai tre gate; Header Footer home app admin non in package; FormField in ui-foundation,Onda eseguita. Set=38; FormField estratto in packages/ui-foundation; 37 file restano CONDIVISO nei path originali (contabilizzati una sola volta). Nessuna duplicazione verso le app. states.tsx non toccato.
S2-COND-LIB-01,5,Pagine e lib CONDIVISO residue,CONDIVISO,Decisione per file,Pagine lingue-mercati loading organizzazioni eventi client Supabase,split-1-file-inventory.csv,"categoria=CONDIVISO AND (path LIKE 'src/lib/%' OR path LIKE 'src/app/%') AND path NOT LIKE 'src/lib/errors/%' AND path NOT LIKE 'src/lib/auth/safe-redirect%'",Duplicare client Supabase; motore eventi solo se neutro; allowlist resta per prodotto; loading organizzazioni resta CONDIVISO con gate. Eseguito: 0 git mv; 11 restano root,S2-COND-UTIL-01,Conteggio filtro=11; trasferiti=0; allowlist non in package,Revert della tranche (non applicato),S2-GATE-LINGUE-MERCATI S2-GATE-ORG S2-GATE-EVENTI S2-GATE-ORG-LOADING S2-GATE-SUPABASE-CLIENT,eseguita_con_gate,Completamento implementativo rinviato ai gate; 11 file ancora CONDIVISO in sede; client Supabase non duplicati nelle app,Onda eseguita senza trasferimento. Set=11; overlap 0. lingue-e-mercati redirect /mercati (S2-GATE-LINGUE-MERCATI). organizzazioni/loading.tsx resta CONDIVISO (S2-GATE-ORG-LOADING; non inferire da [slug]). Motore eventi accoppiato ad allowlist: non estratto. client Supabase: originali restano root; copia PI in S2-PI-CORE-01. Conteggio 11. S2-EXTRACT-01: LINGUE_MERCATI_APP_OWNERSHIP=PONTEIMPRESE; redirect copiato in apps/ponteimprese; gate RESOLVED_FOR_PRODUCT_WORKSPACES. Originale root CONDIVISO.
S2-COND-DOCS-01,6,Documentazione CONDIVISO,CONDIVISO,docs di entrambi o archive,Baseline e contratti tecnici,split-1-file-inventory.csv,categoria=CONDIVISO AND path LIKE 'docs/%',Duplicare poi specializzare oppure conservare come baseline storica. Eseguito: 12 restano root monorepo; 0 copie nelle app,S2-SCAFFOLD-01,Conteggio filtro=12; trasferiti=0; nessuna cancellazione,Ripristinare path docs,S2-GATE-ORG S2-GATE-EVENTI S2-GATE-DATI-ACQUISITI,eseguita,12 documenti hanno collocazione dichiarata a root del monorepo,Onda eseguita. Set=12. Baseline (architecture-baseline costituzione domain-model platform-data-specification) resta comune. Docs D1 eventi/opportunita e organizzazioni restano template/gate; duplicazione fisica rinviata. Nessuna cancellazione. Conteggio 12.
S2-COND-MIG-01,7,Migration CONDIVISO immutabili,CONDIVISO,Catena supabase storica,Schema template da non toccare in SPLIT-2,split-1-file-inventory.csv,categoria=CONDIVISO AND path LIKE 'supabase/%',Solo documentazione di ownership; nessuna modifica SQL; duplicazione schema in SPLIT-3. Eseguito: ownership futura registrata; 0 SQL toccati,S2-SCAFFOLD-01,Conteggio filtro=34; git diff supabase vuoto in questa onda,Non applicabile se nessuna modifica,SPLIT-3 S2-GATE-ORG,eseguita_documentale,34 file SQL CONDIVISO restano immutati in SPLIT-2; ownership futura documentata,Onda eseguita come documentale. Set=34. Cataloghi lingue/settori/paesi = TEMPLATE_COMUNE SPLIT-3. Join profile/business/professional/service = destinazione futura PI. Eventi = TEMPLATE_COMUNE. Organizzazioni = S2-GATE-ORG. Nessun git mv SQL. Conteggio 34.
S2-PI-APP-01,8,Route e UI App Router PonteImprese,PONTE_IMPRESE,apps/ponteimprese,Pagine e layout Ponte,split-1-file-inventory.csv,categoria=PONTE_IMPRESE AND path LIKE 'src/app/%',Copia non distruttiva verso apps/ponteimprese (root preservata). Eseguito: 67 copiati; 0 git mv root,S2-COND-TOOL-01,Conteggio filtro=67; copiati=67; root intatta; typecheck PI=0,Ripristinare solo copie in apps/ponteimprese,S2-GATE-EVENTI-LOADING S2-GATE-PI-EDITORIAL-SUPPORT,eseguita_con_gate,67 file src/app PI presenti in apps/ponteimprese; originali root conservati; page eventi pubbliche escluse (CS),Onda eseguita in S2-PI-CORE-01. Set=67; overlap 0 con PI-SRC. Eventi page.tsx/[id] escluse (CS). eventi/loading.tsx copiato (file PI; decisione page CS rinviata). organizzazioni/[slug] e redazione mercati/opportunita/organizzazioni incluse. organizzazioni/loading.tsx duplicato extra (gate PI; inventario CONDIVISO). Nessun git mv distruttivo.
S2-PI-SRC-01,9,Moduli applicativi PonteImprese,PONTE_IMPRESE,apps/ponteimprese,lib e resto src Ponte,split-1-file-inventory.csv,"categoria=PONTE_IMPRESE AND path LIKE 'src/%' AND path NOT LIKE 'src/app/%'",Copia non distruttiva verso apps/ponteimprese; scindere azioni miste se emergono. Eseguito: 92 copiati; 0 git mv root,S2-PI-APP-01,Conteggio filtro=92; copiati=92; import apps/centro-studi=0,Ripristinare solo copie in apps/ponteimprese,S2-GATE-PI-EDITORIAL-SUPPORT S2-GATE-BRAND,eseguita_con_gate,92 file src non-app PI presenti in apps/ponteimprese; originali root conservati; kernel editoriale inventario-CS duplicato per autonomia route PI,Onda eseguita in S2-PI-CORE-01. Set=92; overlap 0. Nessun import verso apps/centro-studi. Client supabase/safe-redirect/app-error duplicati in app. Pipeline World Bank/Eurostat non copiate (etichette WB locali). Prompt 3: PI-DOCS PI-TEST PI-MIG.
